"Timestamp","¿Cómo la escribirías? n2.e1.f1","¿Cómo la escribirías? n2.e1.f2","¿Cómo la escribirías? n2.e1.f3"
"2015/12/02 10:17:45 AM GMT-3","Uno pertenece a todos los enteros","Todos los enteros son desiguales que cero","Abro llave uno coma dos pertenecen al conjunto de los enteros"
"2015/12/04 4:40:14 PM GMT-3","uno pertenece a los enteros.","el grupo de los enteros, es distinto a vacío.","el conjunto de los números uno y dos, es un subconjunto de los enteros."
"2016/02/29 11:39:36 AM GMT-3","Uno pertenece a los enteros.

Uno es un entero.

","El campo de los enteros distintos de cero.

Los enteros distintos de cero.

","El conjunto de los números uno y dos está incluido en los enteros.

Uno y dos están incluidos en los enteros.

Uno y dos son enteros.

"
"2016/02/29 9:43:32 PM GMT-3","1 pertenece al conjunto Z","conjunto Z distinto de conjunto vacío","(conjunto 1, 2) incluido en conjunto Z"
"2016/03/02 5:33:15 AM GMT-3","1 pertenece a zeta
uno está en zeta
uno en zeta","zeta distinto de vacío","uno dos, incluido en zeta"
"2016/03/09 9:45:40 AM GMT-3","1 perteneciente a los enteros","el conjunto de los enteros distinto de vacío","el conjunto de 1 y 2 está contenido en los enteros"
"2016/04/03 12:39:27 PM GMT-3","uno pertenece al conjunto de los números enteros","el conjunto de los números enteros es distinto del conjunto vacío","el conjunto que tiene como elementos al uno y al dos está incluido en el conjuntos de los números enteros"
"2016/04/03 1:17:46 PM GMT-3","El numero uno pertenece al conjunto de números enteros, zeta.","El conjunto de números enteros, zeta, no está vacío.","El subconjunto integrado por uno coma dos está incluido en el conjunto de números enteros, zeta."
"2016/04/03 2:14:00 PM GMT-3","1 pertenece al conjunto de numeros enteros","El conjunto de numeros enteros no es vacio","El conjunto formado por los números 1 y 2 es subconjunto propio del conjunto de los números enteros."
"2016/04/03 3:11:14 PM GMT-3","uno pertenece a los enteros","los enteros distintos de conjunto vacio","conjunto 1 , 2 incluido en los enteros"
"2016/04/03 3:33:45 PM GMT-3","uno pertenece enteros","enteros noigual vacio","abro corchete uno como dos cierro corchete incluidopropio enteros"
"2016/04/03 4:45:04 PM GMT-3","1 pertenece al conjunto de los enteros","el conjunto de los enteros es distinto de vacio","(el conjunto que forman 1 y 2) esta incluido en el conjunto de los enteros"
"2016/04/03 5:41:38 PM GMT-3","1 pertenece al conjunto de los numeros enteros","el conjunto de los numeros entero es distinto de vacio","el conjunto que posee solamente los elementos 1 y 2 pertenece a los enteros"
"2016/04/03 7:44:11 PM GMT-3","""1 pertenece a Z""","""Z es distinto de vacío""","""(el conjunto (1,2)) está contenido estrictamente en Z"""
"2016/04/03 10:19:08 PM GMT-3","Uno pertenece a los números enteros","El conjunto de los números enteros es distinto de vacío","El conjunto de uno, y dos. Está incluido en el conjunto de los números enteros. "
"2016/04/04 6:45:13 PM GMT-3","uno pertenece a los números enteros ","los números enteros son distintos de vacío ","el conjunto de uno y dos esta contenido en los números enteros "
"2016/04/10 4:54:00 PM GMT-3","1 perteneciente a z","z diferente de 0","1 y 2 perteneciente a z"
